Title,Author,Length
Broken Hearts,By: Chelle Bliss,Length: 6 hrs and 58 mins
Unaffiliated Healer,By: Jonathan Brooks,Length: 15 hrs and 34 mins
The Broken Night,By: D.E. Sherman,Length: 16 hrs and 29 mins
Phantom,By: H. D. Carlton,Length: 8 hrs and 53 mins
Rafferty,By: Sawyer Bennett,Length: 6 hrs and 13 mins
Hellmarine: They Shall Know Fear,"By: Virgil Knightley, Alphonse Fisk",Length: 13 hrs and 12 mins
Indiscretion,By: Vi Keeland,Length: 8 hrs and 49 mins
The Path of Ascension 8,By: C. Mantis,Length: 27 hrs and 23 mins
Becoming Sherlock - The Red Circle,"By: Sarah J. Naughton, Anthony Horowitz",Length: 9 hrs and 17 mins
Good Pucking Luck,By: Riley Hart,Length: 6 hrs and 39 mins
Getting Things Done,"By: David Allen, James Fallows - foreword",Length: 10 hrs and 17 mins
Broken Magic,By: Orlando A. Sanchez,Length: 7 hrs and 31 mins
Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
Fated over Forty: The Complete Series Collection,By: Meg Ripley,Length: 52 hrs and 21 mins
Dark Princess Emerging,By: I. T. Lucas,Length: 8 hrs and 44 mins
The Big Empty,By: Robert Crais,Length: 8 hrs and 25 mins
Garden of Sanctuary,By: pirateaba,Length: 32 hrs and 59 mins
Forever with the CEO,By: Layla Hagen,Length: 8 hrs and 25 mins
Blood and the Badge,By: Michael Cannell,Length: 14 hrs and 8 mins
Pro Bono,By: Thomas Perry,Length: 10 hrs and 42 mins
